epd,move,eval,depth,pv,engine
2rq1rk1/1b2bppp/p2p1n2/1p1Pp3/1Pn1P3/5N1P/P1B2PP1/RNBQR1K1 w - -,d1e2,11,37,d1e2 c4b6 c2b3 f6h5 c1e3 h5f4 e2d1,Stockfish 15
2rq1rk1/1b2bppp/p2p1n2/1p1Pp3/1Pn1P3/5N1P/P1B2PP1/RNBQR1K1 w - -,f3h2,9,37,f3h2 c4b6 h2f1 f6h5 a2a4 b5a4 c2a4,Stockfish 15
2rq1rk1/1b2bppp/p2p1n2/1p1Pp3/1Pn1P3/5N1P/P1B2PP1/RNBQR1K1 w - -,b1a3,0,37,b1a3 c4a3 c1a3 f6d7 a3c1 d7b6 c1e3,Stockfish 15
2rq1rk1/1b2bppp/p2p1n2/1p1Pp3/1Pn1P3/5N1P/P1B2PP1/RNBQR1K1 w - -,g1h2,0,37,g1h2 d8c7 b1c3 c4b6 c1b2 b6c4,Stockfish 15
1r1r2k1/5pp1/p2p4/1p2pnqp/1BP1Q3/PP1R2P1/5P1P/3R2K1 b - -,f5d4,69,47,f5d4 b4a5 d8c8 a5b4 g5f6 b4c3 d4f5,Stockfish 15
1r1r2k1/5pp1/p2p4/1p2pnqp/1BP1Q3/PP1R2P1/5P1P/3R2K1 b - -,g5f6,23,47,g5f6 d3d5,Stockfish 15
1r1r2k1/5pp1/p2p4/1p2pnqp/1BP1Q3/PP1R2P1/5P1P/3R2K1 b - -,b5c4,20,46,b5c4 b3c4 h5h4 g3g4 f5h6 h2h3 f7f5,Stockfish 15
1r1r2k1/5pp1/p2p4/1p2pnqp/1BP1Q3/PP1R2P1/5P1P/3R2K1 b - -,h5h4,4,46,h5h4 c4b5 b8b5 b4d6 f5d6 d3d6 d8d6,Stockfish 15
1r1r2k1/5pp1/p2p4/1p2pnqp/1BP1Q3/PP1R2P1/5P1P/3R2K1 b - -,g5g4,0,46,g5g4 e4g4 h5g4 b4d6 b5c4 b3c4 d8d6,Stockfish 15
1r1r2k1/5pp1/p2p4/1p2pnqp/1BP1Q3/PP1R2P1/5P1P/3R2K1 b - -,b8c8,0,46,b8c8 b4d6 b5c4 b3c4 g5g4 e4g4 h5g4,Stockfish 15
1r1r2k1/5pp1/p2p4/1p2pnqp/1BP1Q3/PP1R2P1/5P1P/3R2K1 b - -,a6a5,0,46,a6a5 b4d6 d8d6 d3d6 f5d6 d1d6 a5a4,Stockfish 15
1r1r2k1/5pp1/p2p4/1p2pnqp/1BP1Q3/PP1R2P1/5P1P/3R2K1 b - -,d8e8,0,46,d8e8 b4d6 b5c4 b3c4 b8c8 c4c5 g5g4,Stockfish 15
1r1r2k1/5pp1/p2p4/1p2pnqp/1BP1Q3/PP1R2P1/5P1P/3R2K1 b - -,d8d7,0,46,d8d7 b4d6 d7d6 d3d6 f5d6 d1d6 g5c1,Stockfish 15
1r1r2k1/5pp1/p2p4/1p2pnqp/1BP1Q3/PP1R2P1/5P1P/3R2K1 b - -,g7g6,0,46,g7g6 b4d6 b5c4 e4c4 f5d6 d3d6 d8d6,Stockfish 15
1r2rbk1/1b1q1p2/3pn1p1/1p5p/1p2P2P/P1P1BPP1/4QNBK/2R1R3 w - -,a3b4,287,40,a3b4 d7c6 g2f1 e6c7 f3f4 d6d5 e4e5,Stockfish 050822
1r2rbk1/1b1q1p2/3pn1p1/1p5p/1p2P2P/P1P1BPP1/4QNBK/2R1R3 w - -,c3b4,241,40,c3b4 b8a8 c1c3 d6d5 c3d3 d5d4 f3f4,Stockfish 050822
1r2rbk1/1b1q1p2/3pn1p1/1p5p/1p2P2P/P1P1BPP1/4QNBK/2R1R3 w - -,e2a2,-35,40,e2a2 b4a3 a2a3 d6d5 a3a2 d5e4 f2e4,Stockfish 050822
1r2rbk1/1b1q1p2/3pn1p1/1p5p/1p2P2P/P1P1BPP1/4QNBK/2R1R3 w - -,e2b2,-35,40,e2b2 b4a3 b2a3 d6d5 a3a2 d5e4 f2e4,Stockfish 050822
1r2rbk1/1b1q1p2/3pn1p1/1p5p/1p2P2P/P1P1BPP1/4QNBK/2R1R3 w - -,f3f4,-108,40,f3f4 b4a3 f4f5 e6c5 f5g6 f7g6 e2a2,Stockfish 050822
1r2rbk1/1b1q1p2/3pn1p1/1p5p/1p2P2P/P1P1BPP1/4QNBK/2R1R3 w - -,a3a4,-169,40,a3a4 b5a4 c3b4 d6d5 e1d1 d5d4 e3d2,Stockfish 050822
1r2rbk1/1b1q1p2/3pn1p1/1p5p/1p2P2P/P1P1BPP1/4QNBK/2R1R3 w - -,e2d1,-201,40,e2d1 b4a3 f3f4 e6g7 e3c5 b8a8 d1d2,Stockfish 050822
1r2rbk1/1b1q1p2/3pn1p1/1p5p/1p2P2P/P1P1BPP1/4QNBK/2R1R3 w - -,f2d3,-278,40,f2d3 b4a3 d3b4 f8g7 e2d2 d7c7 g2h3,Stockfish 050822
1r2rbk1/1b1q1p2/3pn1p1/1p5p/1p2P2P/P1P1BPP1/4QNBK/2R1R3 w - -,g3g4,-294,40,g3g4 b4c3 c1c3 d7e7 c3b3 e7h4 h2g1,Stockfish 050822
1r2rbk1/1b1q1p2/3pn1p1/1p5p/1p2P2P/P1P1BPP1/4QNBK/2R1R3 w - -,c1b1,-304,40,c1b1 b4a3 e2a2 d6d5 e1d1 e6c7 f2h3,Stockfish 050822
r3r1k1/pn1bnpp1/1p2p2p/1q1pPP2/1BpP3N/2P2BP1/2P3QP/R4RK1 w - -,b4e7,1141,40,b4e7 b5b2 g2d2 e6f5 f3d5 e8e7 d5b7,Stockfish 050822
r3r1k1/pn1bnpp1/1p2p2p/1q1pPP2/1BpP3N/2P2BP1/2P3QP/R4RK1 w - -,g3g4,1124,40,g3g4 b7c5 f5f6 g7g5 f6e7 e8e7 g2f2,Stockfish 050822
r3r1k1/pn1bnpp1/1p2p2p/1q1pPP2/1BpP3N/2P2BP1/2P3QP/R4RK1 w - -,f5f6,1096,40,f5f6 e7f5 h4f5 e6f5 f3d5 g7f6 d5b7,Stockfish 050822
r3r1k1/pn1bnpp1/1p2p2p/1q1pPP2/1BpP3N/2P2BP1/2P3QP/R4RK1 w - -,a1b1,950,40,a1b1 e7f5 h4f5 e6f5 f3d5 a8b8 g3g4,Stockfish 050822
r3r1k1/pn1bnpp1/1p2p2p/1q1pPP2/1BpP3N/2P2BP1/2P3QP/R4RK1 w - -,f1b1,927,40,f1b1 b5c6 f5f6 e7g6 g2h3 b7c5 b1f1,Stockfish 050822
r3r1k1/pn1bnpp1/1p2p2p/1q1pPP2/1BpP3N/2P2BP1/2P3QP/R4RK1 w - -,b4a3,917,40,b4a3 e7f5 h4f5 e6f5 f3d5 a8b8 g3g4,Stockfish 050822
r3r1k1/pn1bnpp1/1p2p2p/1q1pPP2/1BpP3N/2P2BP1/2P3QP/R4RK1 w - -,f3h5,854,40,f3h5 e7f5 h4f5 e6f5 g3g4 f5f4 f1f4,Stockfish 050822
r3r1k1/pn1bnpp1/1p2p2p/1q1pPP2/1BpP3N/2P2BP1/2P3QP/R4RK1 w - -,f1e1,737,40,f1e1 g8h7 g3g4 b7c5 d4c5 b6c5 b4a3,Stockfish 050822
r3r1k1/pn1bnpp1/1p2p2p/1q1pPP2/1BpP3N/2P2BP1/2P3QP/R4RK1 w - -,a1e1,678,40,a1e1 e7f5 h4f5 e6f5 f3d5 a7a5 b4a3,Stockfish 050822
r3r1k1/pn1bnpp1/1p2p2p/1q1pPP2/1BpP3N/2P2BP1/2P3QP/R4RK1 w - -,a1d1,655,40,a1d1 e7f5 h4f5 e6f5 f3d5 a7a5 b4a3,Stockfish 050822
8/5p1k/2p3pp/2p1p3/2P2nPP/2Q2P2/1P1B1K2/q7 w - -,d2f4,-9,40,d2f4 e5f4 c3f6 h7g8 f6e5 a1a2 e5e8,Stockfish 050822
8/5p1k/2p3pp/2p1p3/2P2nPP/2Q2P2/1P1B1K2/q7 w - -,b2b3,-558,40,b2b3 a1a2 c3a5 f4d3 f2e3 a2b3 a5c3,Stockfish 050822
8/5p1k/2p3pp/2p1p3/2P2nPP/2Q2P2/1P1B1K2/q7 w - -,h4h5,-743,40,h4h5 a1b2 h5g6 h7g6 f2e3 b2c3 d2c3,Stockfish 050822
8/5p1k/2p3pp/2p1p3/2P2nPP/2Q2P2/1P1B1K2/q7 w - -,f2e3,-900,40,f2e3 a1g1 e3e4 g1h2 h4h5 g6h5 g4h5,Stockfish 050822
8/5p1k/2p3pp/2p1p3/2P2nPP/2Q2P2/1P1B1K2/q7 w - -,d2e3,-1158,40,d2e3 a1b2 c3b2 f4d3 f2e2 d3b2 e3c5,Stockfish 050822
8/5p1k/2p3pp/2p1p3/2P2nPP/2Q2P2/1P1B1K2/q7 w - -,c3b3,-1177,40,c3b3 a1b2 b3c3 b2a2 f2e3 f4g2 e3f2,Stockfish 050822
8/5p1k/2p3pp/2p1p3/2P2nPP/2Q2P2/1P1B1K2/q7 w - -,d2e1,-1184,40,d2e1 a1b2 e1d2 b2a2 f2e3 f4g2 e3e2,Stockfish 050822
8/5p1k/2p3pp/2p1p3/2P2nPP/2Q2P2/1P1B1K2/q7 w - -,c3a3,-1191,40,c3a3 a1b2 a3b2 f4d3 f2e2 d3b2 d2c3,Stockfish 050822
8/5p1k/2p3pp/2p1p3/2P2nPP/2Q2P2/1P1B1K2/q7 w - -,c3a5,-1235,40,c3a5 a1b2 a5c3 b2a2 f2e3 f4g2 e3e2,Stockfish 050822
8/5p1k/2p3pp/2p1p3/2P2nPP/2Q2P2/1P1B1K2/q7 w - -,c3c2,-1235,40,c3c2 a1b2 c2b2 f4d3 f2e2 d3b2 d2c3,Stockfish 050822
q1b2k2/5ppp/2n5/P1N1n3/8/2PpB1P1/3N1P1P/R4RK1 w - -,f1b1,682,40,f1b1 c8h3 a5a6 f8g8 c5e4 h7h6 f2f3,Stockfish 050822
q1b2k2/5ppp/2n5/P1N1n3/8/2PpB1P1/3N1P1P/R4RK1 w - -,a5a6,672,40,a5a6 f8g8 f1b1 h7h6 c5e4 c8f5 a1a4,Stockfish 050822
q1b2k2/5ppp/2n5/P1N1n3/8/2PpB1P1/3N1P1P/R4RK1 w - -,c5e4,508,40,c5e4 c8h3 f1b1 c6b8 e3f4 b8a6 f4e5,Stockfish 050822
q1b2k2/5ppp/2n5/P1N1n3/8/2PpB1P1/3N1P1P/R4RK1 w - -,c5a4,420,40,c5a4 c8e6 a5a6 c6a7 f2f3 h7h5 g1f2,Stockfish 050822
q1b2k2/5ppp/2n5/P1N1n3/8/2PpB1P1/3N1P1P/R4RK1 w - -,f1e1,383,40,f1e1 c8h3 f2f3 e5f3 d2f3 c6e5 f3h4,Stockfish 050822
q1b2k2/5ppp/2n5/P1N1n3/8/2PpB1P1/3N1P1P/R4RK1 w - -,f2f3,211,40,f2f3 c6b8 g1f2 b8a6 f1b1 h7h6 b1b5,Stockfish 050822
q1b2k2/5ppp/2n5/P1N1n3/8/2PpB1P1/3N1P1P/R4RK1 w - -,g3g4,48,40,g3g4 e5g4 e3f4 a8a7 f4d6 f8g8 f1b1,Stockfish 050822
q1b2k2/5ppp/2n5/P1N1n3/8/2PpB1P1/3N1P1P/R4RK1 w - -,f2f4,0,40,f2f4 e5g4 e3f2 g4f2 f1f2 a8a7 d2b3,Stockfish 050822
q1b2k2/5ppp/2n5/P1N1n3/8/2PpB1P1/3N1P1P/R4RK1 w - -,h2h4,0,40,h2h4 c8h3 f1b1 c6d4 b1b7 d4f3 d2f3,Stockfish 050822
q1b2k2/5ppp/2n5/P1N1n3/8/2PpB1P1/3N1P1P/R4RK1 w - -,f1d1,0,40,f1d1 c8h3 d1b1 c6d4 b1b7 d4f3 d2f3,Stockfish 050822
1rrqb3/1p3kp1/p3p2p/P1Rp1p1P/3P1P2/6P1/1P1QBPK1/2R5 w - -,b2b4,372,40,b2b4 c8c5 b4c5 b8c8 c1b1 e8c6 b1b6,Stockfish 050822
1rrqb3/1p3kp1/p3p2p/P1Rp1p1P/3P1P2/6P1/1P1QBPK1/2R5 w - -,g3g4,101,40,g3g4 c8c5 c1c5 f5g4 d2c2 d8d6 e2g4,Stockfish 050822
1rrqb3/1p3kp1/p3p2p/P1Rp1p1P/3P1P2/6P1/1P1QBPK1/2R5 w - -,d2e3,94,40,d2e3 c8c5 c1c5 b8c8 c5c8 d8c8 g3g4,Stockfish 050822
1rrqb3/1p3kp1/p3p2p/P1Rp1p1P/3P1P2/6P1/1P1QBPK1/2R5 w - -,e2d3,82,40,e2d3 c8c5 c1c5 b7b6 a5b6 d8b6 d2e2,Stockfish 050822
1rrqb3/1p3kp1/p3p2p/P1Rp1p1P/3P1P2/6P1/1P1QBPK1/2R5 w - -,c1e1,74,40,c1e1 c8c5 d4c5 e8c6 g2f1 d8d7 d2d4,Stockfish 050822
1rrqb3/1p3kp1/p3p2p/P1Rp1p1P/3P1P2/6P1/1P1QBPK1/2R5 w - -,d2b4,74,40,d2b4 c8c5 d4c5 e8c6 c1d1 b8c8 g2f1,Stockfish 050822
1rrqb3/1p3kp1/p3p2p/P1Rp1p1P/3P1P2/6P1/1P1QBPK1/2R5 w - -,g2g1,74,40,g2g1 c8c5 d4c5 e8c6 c1e1 d5d4 e2c4,Stockfish 050822
1rrqb3/1p3kp1/p3p2p/P1Rp1p1P/3P1P2/6P1/1P1QBPK1/2R5 w - -,g2f1,73,40,g2f1 c8c5 d4c5 e8c6 c1e1 d8d7 d2d4,Stockfish 050822
1rrqb3/1p3kp1/p3p2p/P1Rp1p1P/3P1P2/6P1/1P1QBPK1/2R5 w - -,c1d1,72,40,c1d1 c8c5 d4c5 e8c6 g2f1 d8d7 d2d4,Stockfish 050822
1rrqb3/1p3kp1/p3p2p/P1Rp1p1P/3P1P2/6P1/1P1QBPK1/2R5 w - -,c5c8,64,40,c5c8 b8c8 c1a1 c8c6 a1e1 e8d7 e2d3,Stockfish 050822
r1b1n2r/1p1pqpkp/p1n1p3/4P3/4NP2/3B3P/PPP3P1/R2Q1R1K w - -,d1h5,0,40,d1h5 d7d5 e5d6 e8d6 e4d6 e7d6 h5g5,Stockfish 050822
r1b1n2r/1p1pqpkp/p1n1p3/4P3/4NP2/3B3P/PPP3P1/R2Q1R1K w - -,f4f5,-36,40,f4f5 e6f5 e4g3 d7d5 d3f5 g7f8 d1d3,Stockfish 050822
r1b1n2r/1p1pqpkp/p1n1p3/4P3/4NP2/3B3P/PPP3P1/R2Q1R1K w - -,d1g4,-142,40,d1g4 g7f8 e4g5 f7f6 e5f6 e8f6 g4h4,Stockfish 050822
r1b1n2r/1p1pqpkp/p1n1p3/4P3/4NP2/3B3P/PPP3P1/R2Q1R1K w - -,d1f3,-151,40,d1f3 f7f5 e5f6 e8f6 f3g3 g7f8 e4f6,Stockfish 050822
r1b1n2r/1p1pqpkp/p1n1p3/4P3/4NP2/3B3P/PPP3P1/R2Q1R1K w - -,d1e1,-175,40,d1e1 f7f5 e5f6 e8f6 e1g3 g7f8 e4f6,Stockfish 050822
r1b1n2r/1p1pqpkp/p1n1p3/4P3/4NP2/3B3P/PPP3P1/R2Q1R1K w - -,c2c4,-203,40,c2c4 d7d5 d1g4 g7f8 e4g5 h7h5 g4f3,Stockfish 050822
r1b1n2r/1p1pqpkp/p1n1p3/4P3/4NP2/3B3P/PPP3P1/R2Q1R1K w - -,d1d2,-224,40,d1d2 d7d6 a1d1 f7f6 d2e1 d6d5 e5f6,Stockfish 050822
r1b1n2r/1p1pqpkp/p1n1p3/4P3/4NP2/3B3P/PPP3P1/R2Q1R1K w - -,c2c3,-235,40,c2c3 e7h4 d1d2 d7d5 e4g5 f7f6 g5f3,Stockfish 050822
r1b1n2r/1p1pqpkp/p1n1p3/4P3/4NP2/3B3P/PPP3P1/R2Q1R1K w - -,a2a4,-251,40,a2a4 f7f5 e5f6 e8f6 e4f6 e7f6 d1g4,Stockfish 050822
r1b1n2r/1p1pqpkp/p1n1p3/4P3/4NP2/3B3P/PPP3P1/R2Q1R1K w - -,a1c1,-267,40,a1c1 f7f5 e5f6 e8f6 e4f6 e7f6 d1g4,Stockfish 050822
r3r1k1/pn1bnpp1/1p2p2p/1q1pP3/2pP1P1N/B1P2BP1/2P3QP/R4RK1 w - -,g3g4,939,40,g3g4 b7c5 d4c5 g8h7 f4f5 f7f6 f5e6,Stockfish 050822
r3r1k1/pn1bnpp1/1p2p2p/1q1pP3/2pP1P1N/B1P2BP1/2P3QP/R4RK1 w - -,f4f5,916,40,f4f5 e6f5 a3e7 d7e6 e7a3 b5d7 h4f5,Stockfish 050822
r3r1k1/pn1bnpp1/1p2p2p/1q1pP3/2pP1P1N/B1P2BP1/2P3QP/R4RK1 w - -,a3e7,835,40,a3e7 e8e7 g3g4 b7c5 g4g5 g8h8 g1h1,Stockfish 050822
r3r1k1/pn1bnpp1/1p2p2p/1q1pP3/2pP1P1N/B1P2BP1/2P3QP/R4RK1 w - -,a1b1,818,40,a1b1 b5a5 a3b4 a5a4 b1a1 a4c6 f4f5,Stockfish 050822
r3r1k1/pn1bnpp1/1p2p2p/1q1pP3/2pP1P1N/B1P2BP1/2P3QP/R4RK1 w - -,g1h1,779,40,g1h1 b7c5 d4c5 b6c5 g3g4 g8h7 f4f5,Stockfish 050822
r3r1k1/pn1bnpp1/1p2p2p/1q1pP3/2pP1P1N/B1P2BP1/2P3QP/R4RK1 w - -,a1e1,758,40,a1e1 b7c5 d4c5 b6c5 g2f2 b5a5 a3c5,Stockfish 050822
r3r1k1/pn1bnpp1/1p2p2p/1q1pP3/2pP1P1N/B1P2BP1/2P3QP/R4RK1 w - -,h2h3,742,40,h2h3 b5c6 f4f5 g8h7 g3g4 c6c7 a3e7,Stockfish 050822
r3r1k1/pn1bnpp1/1p2p2p/1q1pP3/2pP1P1N/B1P2BP1/2P3QP/R4RK1 w - -,f1b1,738,40,f1b1 b5c6 f4f5 g8h7 g3g4 c6c7 b1f1,Stockfish 050822
r3r1k1/pn1bnpp1/1p2p2p/1q1pP3/2pP1P1N/B1P2BP1/2P3QP/R4RK1 w - -,f1e1,714,40,f1e1 b5a5 a3b4 a5b5 g3g4 b7c5 d4c5,Stockfish 050822
r3r1k1/pn1bnpp1/1p2p2p/1q1pP3/2pP1P1N/B1P2BP1/2P3QP/R4RK1 w - -,g2h3,618,40,g2h3 e7g6 h4g2 b7c5 d4c5 b6c5 g3g4,Stockfish 050822
1b1r4/3rkp2/p3p2p/4q3/P5P1/2RBP3/P1Q4P/1R3K2 b - -,b8a7,842,40,b8a7 d3a6 a7e3 c3d3 e5f4 f1e1 f4g4,Stockfish 15
1b1r4/3rkp2/p3p2p/4q3/P5P1/2RBP3/P1Q4P/1R3K2 b - -,e5f6,737,40,e5f6 f1g1 f6e5 b1b3 e5e3 c2f2 b8h2,Stockfish 15
1b1r4/3rkp2/p3p2p/4q3/P5P1/2RBP3/P1Q4P/1R3K2 b - -,h6h5,723,40,h6h5 c3c8 d8c8 c2c8 e5e3 c8b8 e3d3,Stockfish 15
1b1r4/3rkp2/p3p2p/4q3/P5P1/2RBP3/P1Q4P/1R3K2 b - -,a6a5,524,40,a6a5 c3b3 b8a7 b1e1 a7e3 c2f2 d7d3,Stockfish 15
1b1r4/3rkp2/p3p2p/4q3/P5P1/2RBP3/P1Q4P/1R3K2 b - -,d8g8,448,40,d8g8 b1b4 h6h5 d3a6 h5g4 b4b7 d7b7,Stockfish 15
1b1r4/3rkp2/p3p2p/4q3/P5P1/2RBP3/P1Q4P/1R3K2 b - -,b8d6,438,40,b8d6 d3a6 e5f6 f1g2 f6h4 a6b5 h4h2,Stockfish 15
1b1r4/3rkp2/p3p2p/4q3/P5P1/2RBP3/P1Q4P/1R3K2 b - -,e7f8,418,40,e7f8 c3c8 b8a7 b1d1 e5e3 f1g2 d8c8,Stockfish 15
1b1r4/3rkp2/p3p2p/4q3/P5P1/2RBP3/P1Q4P/1R3K2 b - -,e5g7,409,40,e5g7 c3b3 g7g4 b3b8 g4h3 f1f2 h3h2,Stockfish 15
1b1r4/3rkp2/p3p2p/4q3/P5P1/2RBP3/P1Q4P/1R3K2 b - -,e5g5,390,40,e5g5 c3b3 g5g4 b3b8 g4h3 f1f2 h3h2,Stockfish 15
1b1r4/3rkp2/p3p2p/4q3/P5P1/2RBP3/P1Q4P/1R3K2 b - -,e5e3,285,40,e5e3 d3e2 e3e5 c3f3 e5h2 c2c5 b8d6,Stockfish 15
r2qr1k1/pp3ppp/2n2nb1/1P4B1/3p4/P2B1P2/2P1N1PP/R2Q1RK1 b - -,c6e5,30,40,c6e5 d3g6 e5g6 e2d4 h7h6 g5f6 d8f6,Stockfish 050822
r2qr1k1/pp3ppp/2n2nb1/1P4B1/3p4/P2B1P2/2P1N1PP/R2Q1RK1 b - -,c6a5,0,40,c6a5 g5h4 a8c8 f1e1 a5c4 d3g6 h7g6,Stockfish 050822
r2qr1k1/pp3ppp/2n2nb1/1P4B1/3p4/P2B1P2/2P1N1PP/R2Q1RK1 b - -,c6e7,-7,40,c6e7 f1e1 a8c8 d3g6 h7g6 d1d4 c8c2,Stockfish 050822
r2qr1k1/pp3ppp/2n2nb1/1P4B1/3p4/P2B1P2/2P1N1PP/R2Q1RK1 b - -,g6d3,-62,40,g6d3 d1d3 c6e5 d3d4 d8d4 e2d4 f6d5,Stockfish 050822
r2qr1k1/pp3ppp/2n2nb1/1P4B1/3p4/P2B1P2/2P1N1PP/R2Q1RK1 b - -,c6b8,-62,40,c6b8 f1e1 b8d7 g5h4 d7e5 d3g6 h7g6,Stockfish 050822
r2qr1k1/pp3ppp/2n2nb1/1P4B1/3p4/P2B1P2/2P1N1PP/R2Q1RK1 b - -,h7h6,-664,40,h7h6 g5f6 d8f6 b5c6 b7c6 e2g3 c6c5,Stockfish 050822
r2qr1k1/pp3ppp/2n2nb1/1P4B1/3p4/P2B1P2/2P1N1PP/R2Q1RK1 b - -,d8a5,-669,40,d8a5 g5f6 g6d3 d1d3 e8e3 d3d1 d4d3,Stockfish 050822
r2qr1k1/pp3ppp/2n2nb1/1P4B1/3p4/P2B1P2/2P1N1PP/R2Q1RK1 b - -,e8e2,-687,40,e8e2 d1e2 g6d3 c2d3 c6e7 g5f6 g7f6,Stockfish 050822
r2qr1k1/pp3ppp/2n2nb1/1P4B1/3p4/P2B1P2/2P1N1PP/R2Q1RK1 b - -,d8e7,-712,40,d8e7 b5c6 g6d3 c2d3 b7c6 e2g3 h7h6,Stockfish 050822
r2qr1k1/pp3ppp/2n2nb1/1P4B1/3p4/P2B1P2/2P1N1PP/R2Q1RK1 b - -,a8b8,-718,40,a8b8 b5c6 b7c6 e2g3 d8d6 g5f6 d6f6,Stockfish 050822
r2r2k1/4qp2/p5p1/2p4p/5P2/3RP1K1/PPQ4P/3R4 b - -,d8d3,85,40,d8d3 d1d3 a8e8 c2d2 g8h7 d3c3 e7e6,Stockfish 050822
r2r2k1/4qp2/p5p1/2p4p/5P2/3RP1K1/PPQ4P/3R4 b - -,d8e8,59,40,d8e8 h2h3 e7e4 c2g2 e4f5 g3h2 a8c8,Stockfish 050822
r2r2k1/4qp2/p5p1/2p4p/5P2/3RP1K1/PPQ4P/3R4 b - -,d8b8,46,40,d8b8 b2b3 b8b4 c2d2 a8e8 d3d8 b4b8,Stockfish 050822
r2r2k1/4qp2/p5p1/2p4p/5P2/3RP1K1/PPQ4P/3R4 b - -,d8c8,37,40,d8c8 b2b3 c8c7 h2h3 a8e8 g3h2 e7e6,Stockfish 050822
r2r2k1/4qp2/p5p1/2p4p/5P2/3RP1K1/PPQ4P/3R4 b - -,d8f8,34,40,d8f8 h2h3 a8c8 g3h2 c8c6 b2b3 f8e8,Stockfish 050822
r2r2k1/4qp2/p5p1/2p4p/5P2/3RP1K1/PPQ4P/3R4 b - -,h5h4,12,40,h5h4 g3f2 d8d3 d1d3 a8b8 b2b3 b8e8,Stockfish 050822
r2r2k1/4qp2/p5p1/2p4p/5P2/3RP1K1/PPQ4P/3R4 b - -,c5c4,0,40,c5c4 d3d8 a8d8 d1d8 e7d8 c2c4 d8d1,Stockfish 050822
r2r2k1/4qp2/p5p1/2p4p/5P2/3RP1K1/PPQ4P/3R4 b - -,e7f6,0,40,e7f6 d3d8 a8d8 d1d8 f6d8 c2c5 d8d1,Stockfish 050822
