index,epd,old bm,sts_v6,old id,new id,test,depth,by,status,date,output file,updated by,update date,update depth,epd index check,comment,Reviewed by,Replace,Duplicate,unix analysis Time (sec) AMD 5950x 32t 16gb hash,ferdy analysis Time (sec) i7-2600 4t 512mb hash
11,1r3bk1/7p/pp1q2p1/P1pPp3/2P3b1/4B3/1P1Q2BP/R6K w - -,b2b4,yes,STS(v1.0) Undermine.012,,sts_old,40,unix,done,2022-10-27,yes,,,,ok,,ferdy,no,,218,
12,1r3rk1/3n1pbp/1q1pp1p1/p1p5/2PnPP2/PPB1N1PP/6B1/1R1Q1RK1 b - -,a5a4,yes,STS(v1.0) Undermine.013,,sts_old,40,unix,done,2022-10-27,yes,,,,ok,,ferdy,no,,457,
13,1r3rk1/p5bp/6p1/q1pPppn1/7P/1B1PQ1P1/PB3P2/R4RK1 b - -,f5f4,yes,STS(v1.0) Undermine.014,,sts_old,40,unix,done,2022-10-27,yes,,,,ok,,ferdy,no,,3023,
14,1r4k1/1rq2pp1/3b1nn1/pBpPp3/P1N4p/2PP1Q1P/6PB/2R2RK1 w - -,d3d4,yes,STS(v1.0) Undermine.015,,sts_old,40,unix,done,2022-10-27,yes,,,,ok,,ferdy,no,,1902,
15,1r4k1/p1rqbp1p/b1p1p1p1/NpP1P3/3PB3/3Q2P1/P4P1P/3RR1K1 w - -,a2a4,yes,STS(v1.0) Undermine.016,,sts_old,40,unix,done,2022-10-26,yes,,,,ok,"There is new bm, this epd can be in the ""Advancement of f/g/h Pawns"" theme. This is now in index 1501.",ferdy,yes,1,1125,
16,2r3k1/p2q1pp1/Pbrp3p/6n1/1BP1PpP1/R4P2/2QN2KP/1R6 b - -,h6h5,yes,STS(v1.0) Undermine.017,,sts_old,40,unix,done,2022-10-26,yes,,,,ok,,ferdy,no,,2404,
17,1r6/2q2pk1/2n1p1pp/p1Pr4/P1RP4/1p1RQ2P/1N3PP1/7K b - -,e6e5,,STS(v1.0) Undermine.018,,sts_old,47,ferdy,done,2022-11-24,yes,,,,ok,,ferdy,no,,,
18,1r6/R1nk1p2/1p4pp/pP1p1P2/P2P3P/5PN1/5K2/8 w - -,h4h5,yes,STS(v1.0) Undermine.019,,sts_old,40,unix,done,2022-10-26,yes,,,,ok,,ferdy,no,,614,
19,1rb3k1/2pn2pp/p2p4/4p3/1pP4q/1P1PBP1P/1PQ2P2/R3R1K1 w - -,c4c5,yes,STS(v1.0) Undermine.020,,sts_old,40,unix,done,2022-10-26,yes,,,,ok,,ferdy,no,,959,
20,1rbqnrk1/6bp/pp3np1/2pPp3/P1P1N3/2N1B3/1P2Q1BP/R4R1K w - -,a4a5,yes,STS(v1.0) Undermine.021,,sts_old,40,unix,done,2022-10-26,yes,,,,ok,,ferdy,no,,583,
21,1rr3k1/1q3pp1/pnbQp2p/1p2P3/3B1P2/2PB4/P1P2RPP/R5K1 w - -,f4f5,yes,STS(v1.0) Undermine.022,,sts_old,40,unix,done,2022-10-26,yes,,,,ok,,ferdy,no,,220,
22,2kr2r1/1bpnqp2/1p1ppn2/p5pp/P1PP4/4PP2/1P1NBBPP/R2Q1RK1 w - -,b2b4,yes,STS(v1.0) Undermine.023,,sts_old,40,unix,done,2022-10-27,yes,,,,ok,,ferdy,no,,294,
23,2b1k2r/5p2/pq1pNp1b/1p6/2r1PPBp/3Q4/PPP3PP/1K1RR3 w k -,e4e5,yes,STS(v1.0) Undermine.024,,sts_old,40,unix,done,2022-10-27,yes,,,,ok,,ferdy,no,,223,
24,2b1r1k1/1p6/pQ1p1q1p/P2P3P/2P1pPpN/6P1/4R1K1/8 w - -,c4c5,yes,STS(v1.0) Undermine.025,,sts_old,40,unix,done,2022-10-27,yes,,,,ok,,ferdy,no,,3294,
25,2b2rk1/2qn1p2/p2p2pp/2pPP3/8/4NN1P/P1Q2PP1/bB2R1K1 w - -,e5e6,yes,STS(v1.0) Undermine.026,,sts_old,40,unix,done,2022-10-27,yes,,,,ok,,ferdy,no,,224,
26,2bq2k1/1pr3bp/1Qpr2p1/P2pNp2/3P1P1P/6P1/5PB1/1RR3K1 w - -,a5a6,yes,STS(v1.0) Undermine.027,,sts_old,40,unix,done,2022-10-27,yes,,,,ok,,ferdy,no,,1067,
27,rr6/8/2pbkp2/ppp1p1p1/P3P3/1P1P1PB1/R1P2PK1/R7 b - -,c5c4,yes,STS(v1.0) Undermine.28,,sts_old,40,unix,done,2022-10-27,yes,,,,ok,,ferdy,no,,146,
28,2r2rk1/pb2q2p/1pn1p2p/5p1Q/3P4/P1NB4/1P3PPP/R4RK1 w - -,d4d5,yes,STS(v1.0) Undermine.029,,sts_old,40,unix,done,2022-10-27,yes,,,,ok,,ferdy,no,,357,
29,2kr4/ppqnbp1r/2n1p1p1/P2pP3/3P2P1/3BBN2/1P1Q1PP1/R4RK1 w - -,a5a6,yes,STS(v1.0) Undermine.030,,sts_old,40,unix,done,2022-10-27,yes,,,,ok,,ferdy,no,,779,
30,2q5/1pb2r1k/p1b3pB/P1Pp3p/3P4/3B1pPP/1R3P1K/2Q5 b - -,h5h4,yes,STS(v1.0) Undermine.031,,sts_old,40,unix,done,2022-10-27,yes,,,,ok,,ferdy,no,,884,
31,2r1kb1r/1bqn1pp1/p3p3/1p2P1P1/3Np3/P1N1B3/1PP1Q2P/R4RK1 w k -,g5g6,yes,STS(v1.0) Undermine.032,,sts_old,40,unix,done,2022-10-27,yes,,,,ok,,ferdy,no,,2387,
32,2r1rb2/1bq2p1k/3p1np1/p1p5/1pP1P1P1/PP2BPN1/2Q3P1/R2R1BK1 b - -,d6d5,yes,STS(v1.0) Undermine.033,,sts_old,40,unix,done,2022-10-27,yes,,,,ok,,ferdy,no,,885,
33,2r2bk1/pq3r1p/6p1/2ppP1P1/P7/BP1Q4/2R3P1/3R3K b - -,d5d4,yes,STS(v1.0) Undermine.034,,sts_old,40,unix,done,2022-10-27,yes,ferdy,2022-11-28,47,ok,,ferdy,no,,107,1800
34,2r2rk1/1bb2ppp/p2ppn2/1p4q1/1PnNP3/P1N4P/2P1QPPB/3RRBK1 w - -,a3a4,yes,STS(v1.0) Undermine.035,,sts_old,40,unix,done,2022-10-27,yes,,,,ok,,ferdy,no,,694,
35,2r2rk1/3q3p/p3pbp1/1p1pp3/4P3/2P5/PPN1QPPP/3R1RK1 b - -,d5d4,,STS(v1.0) Undermine.036,,sts_old,42,ferdy,done,2022-11-24,yes,,,,ok,there is new bm,ferdy,yes,,,
36,2r4k/pp3q1b/5PpQ/3p4/3Bp3/1P6/P5RP/6K1 w - -,h2h4,yes,STS(v1.0) Undermine.037,,sts_old,40,unix,done,2022-10-27,yes,,,,ok,,ferdy,no,,13771,
37,2r3k1/1b2b2p/r2p1pp1/pN1Pn3/1pPB2P1/1P5P/P3R1B1/5RK1 w - -,g4g5,yes,STS(v1.0) Undermine.038,,sts_old,40,unix,done,2022-10-27,yes,,,,ok,,ferdy,no,,3364,
38,2r3k1/5pp1/1pq4p/p7/P1nR4/2P2P2/Q5PP/4B1K1 b - -,b6b5,yes,STS(v1.0) Undermine.039,,sts_old,40,unix,done,2022-10-27,yes,ferdy,2022-11-28,50,ok,,ferdy,no,,81,1800
39,6k1/6pp/4r3/p1qpp3/Pp6/1n1P1B1P/1B2Q1P1/3R1K2 w - -,d3d4,yes,STS(v1.0) Undermine.040,,sts_old,40,unix,done,2022-10-27,yes,,,,ok,,ferdy,no,,5190,
40,r2qkb1r/1b1n1ppp/p3pn2/1pp5/3PP3/2NB1N2/PP3PPP/R1BQ1RK1 w kq -,d4d5,yes,STS(v1.0) Undermine.041,,sts_old,40,unix,done,2022-10-27,yes,,,,ok,"There are 2 bm according to new analysis, one is d4d5 an undermining move (the old bm) and the second is e4e5, a move that attacks the black N at f6.",ferdy,yes,,434,
41,r3r1k1/pn1bnpp1/1p2p2p/1q1pPP2/1BpP3N/2P2BP1/2P3QP/R4RK1 w - -,f5f6,yes,STS(v1.0) Undermine.42,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,There is new bm.,ferdy,yes,,3926,
42,2r5/p3kpp1/1pn1p2p/8/1PP2P2/PB1R1KP1/7P/8 b - -,a7a5,yes,STS(v1.0) Undermine.043,,sts_old,40,unix,done,2022-10-28,yes,ferdy,2022-11-28,54,ok,"New bm and old bm are the same. The top 1 move has 56 eval, the other 9 have 0 eval.",ferdy,no,,29,1800
43,2rq1rk1/1b2bppp/p2p1n2/1p1Pp3/1Pn1P3/5N1P/P1B2PP1/RNBQR1K1 w - -,a2a4,yes,STS(v1.0) Undermine.044,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,535,
44,2rqr1k1/1b2bp1p/ppn1p1pB/3n4/3P3P/P1NQ1N2/1PB2PP1/3RR1K1 w - -,h4h5,yes,STS(v1.0) Undermine.045,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,284,
45,3Rb3/5ppk/2r1r3/p5Pp/1pN2P1P/1P5q/P4Q2/K2R4 b - -,a5a4,,STS(v1.0) Undermine.046,,sts_old,36,ferdy,done,2022-10-30,yes,,,,ok,There are 5 top 1 moves.,ferdy,yes,,,
46,3Rbrk1/4Q2p/6q1/pp3p2/4p2P/1P4P1/8/5R1K w - -,g3g4,yes,STS(v1.0) Undermine.047,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,1244,
47,3bn3/3r1p1k/3Pp1p1/1q6/Np2BP1P/3R2PK/8/3Q4 w - -,h4h5,yes,STS(v1.0) Undermine.048,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,701,
48,3k1r1r/p2n1p1p/q2p2pQ/1p2P3/2pP4/P4N2/5PPP/2R1R1K1 w - -,a3a4,,STS(v1.0) Undermine.049,,sts_old,36,ferdy,done,2022-10-30,yes,,,,,,ferdy,no,,,
49,3r1bk1/1p2qp1p/p5p1/P1pPp3/2QnP3/3BB3/1P3PPP/2R3K1 w - -,f2f4,yes,STS(v1.0) Undermine.050,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,549,
50,3r1bkr/2q3pp/1p1Npp2/pPn1P3/5B2/1P6/2P2PPP/R2QR1K1 w - -,b3b4,yes,STS(v1.0) Undermine.051,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,There is new bm.,ferdy,yes,,1162,
51,3r2k1/p2q1pp1/1p2n1p1/2p1P2n/P4P2/2B1Q1P1/7P/1R3BK1 w - -,a4a5,yes,STS(v1.0) Undermine.052,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,375,
52,3r4/8/pq3kr1/3Bp3/7p/1P3P2/P5PP/3RQ2K b - -,h4h3,,STS(v1.0) Undermine.053,,sts_old,41,ferdy,done,2022-11-20,yes,,,,ok,There are 3 top 1 moves.,ferdy,yes,,,
53,3r4/pk1p3p/1p2pp2/1N6/2P1KP2/6P1/3R3P/8 w - -,f4f5,yes,STS(v1.0) Undermine.054,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,1376,
54,4k2r/1b2b3/p3pp1p/1p1p4/3BnpP1/P1P4R/1KP4P/5BR1 w k -,g4g5,yes,STS(v1.0) Undermine.055,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,2803,
55,4k3/r2bbprp/3p1p1N/2qBpP2/ppP1P1P1/1P1R3P/P7/1KR1Q3 w - -,a2a3,yes,STS(v1.0) Undermine.056,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,648,
56,4q1k1/pb5p/Nbp1p1r1/3r1p2/PP1Pp1pP/4P1P1/1BR1QP2/2R3K1 w - -,b4b5,yes,STS(v1.0) Undermine.057,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,1845,
57,4r1k1/1pb3qp/p1b1r1p1/P1Pp4/3P1p2/2BB4/1R1Q1PPP/1R4K1 b - -,f4f3,yes,STS(v1.0) Undermine.058,,sts_old,40,unix,done,2022-10-28,yes,ferdy,2022-11-28,50,ok,,ferdy,no,,39,1800
58,4r1k1/5p1p/p2q2p1/3p4/3Qn3/2P1RN2/Pr3PPP/R5K1 w - -,c3c4,yes,STS(v1.0) Undermine.059,,sts_old,40,unix,done,2022-10-28,yes,ferdy,2022-11-28,49,ok,All top 10 moves have zero eval after depth 49,ferdy,yes,,63,1800
59,4rr1k/pp1n2bp/7n/1Pp1pp1q/2Pp3N/1N1P1PP1/P5QP/2B1RR1K b - -,f5f4,yes,STS(v1.0) Undermine.060,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,200,
60,4rrk1/p6p/2q2pp1/1p6/2pP1BQP/5N2/P4PP1/2R3K1 w - -,h4h5,yes,STS(v1.0) Undermine.061,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,771,
61,5nk1/1bp1rnp1/pp1p4/4p1P1/2PPP3/NBP5/P2B4/4R1K1 w - -,c4c5,yes,STS(v1.0) Undermine.062,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,316,
62,5r2/1p1k4/2bp4/r3pp1p/PRP4P/2P2PP1/2B2K2/7R b - -,f5f4,,STS(v1.0) Undermine.063,,sts_old,46,ferdy,done,2022-10-30,yes,,,,ok,All top 10 moves are top 1.,ferdy,yes,,,
63,5r2/5p1Q/4pkp1/p7/1pb2q1P/5P2/P4RP1/3R2K1 w - -,h4h5,,STS(v1.0) Undermine.064,,sts_old,40,ferdy,done,2022-10-30,yes,,,,ok,All top 10 moves are top 1. The replacement is at index 1498.,ferdy,yes,,,
64,5rk1/1Q3pp1/p2p3p/4p1b1/N3PqP1/1N1K4/PP6/3R4 b - -,d6d5,yes,STS(v1.0) Undermine.065,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,435,
65,7r/3nkpp1/4p3/p1pbP3/1r3P1p/1P2B2P/P2RBKP1/7R b - -,a5a4,yes,STS(v1.0) Undermine.066,,sts_old,40,unix,done,2022-10-28,yes,ferdy,2022-11-28,44,ok,Top 4 moves have 0 eval.,ferdy,yes,,101,1800
66,8/1r1rq2k/2p3p1/3b1p1p/4p2P/1N1nP1P1/2Q2PK1/RR3B2 b - -,f5f4,yes,STS(v1.0) Undermine.067,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,2229,
67,8/1r2k3/4p2p/R3K2P/1p1P1P2/1P6/8/8 w - -,f4f5,yes,STS(v1.0) Undermine.068,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,6532,
68,8/3r1pp1/p7/2k2PpP/rp1pB3/2pK1P2/P1R5/1R6 w - -,f5f6,yes,STS(v1.0) Undermine.069,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,173,
69,8/6k1/3P1bp1/2B1p3/1P6/1Q3P1q/7r/1K2R3 b - -,e5e4,yes,STS(v1.0) Undermine.070,,sts_old,40,unix,done,2022-10-28,yes,ferdy,2022-11-28,47,ok,"1 top 1 move, the other 9 have 0 eval. If replacement is available, this can be replaced.",ferdy,no,,42,1800
70,b2rrbk1/2q2p1p/pn1p2p1/1p4P1/2nNPB1P/P1N3Q1/1PP3B1/1K1RR3 w - -,h4h5,,STS(v1.0) Undermine.071,,sts_old,36,ferdy,done,2022-10-30,yes,,,,ok,There is new bm.,ferdy,yes,,,
71,b7/2pr1kp1/1p3p2/p2p3p/P1nP1N2/4P1P1/P1R2P1P/2R3K1 w - -,e3e4,yes,STS(v1.0) Undermine.072,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,1806,
72,k1qbr1n1/1p4p1/p1p1p1Np/2P2p1P/3P4/R7/PP2Q1P1/1K1R4 w - -,d4d5,yes,STS(v1.0) Undermine.073,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,980,
73,r1b1rnk1/pp3pq1/2p3p1/6P1/2B2P1R/2P5/PP1Q2P1/2K4R w - -,f4f5,yes,STS(v1.0) Undermine.074,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,886,
74,r1bq1rk1/pp3pbp/3Pp1p1/2p5/4PP2/2P5/P2QB1PP/1RB1K2R b K -,e6e5,yes,STS(v1.0) Undermine.075,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,684,
75,r1bqr2k/pppn2bp/4n3/2P1p1p1/1P2Pp2/5NPB/PBQN1P1P/R4RK1 w - -,c5c6,yes,STS(v1.0) Undermine.076,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,886,
76,r1br1k2/1pq2pb1/1np1p1pp/2N1N3/p2P1P1P/P3P1R1/1PQ3P1/1BR3K1 w - -,h4h5,yes,STS(v1.0) Undermine.077,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,1863,
77,r1n2k1r/5pp1/2R5/pB2pPq1/P2pP3/6Pp/1P2Q2P/5RK1 w - -,f5f6,yes,STS(v1.0) Undermine.078,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,286,
78,r1r2bk1/pp1n1p1p/2pqb1p1/3p4/1P1P4/1QN1PN2/P3BPPP/2RR2K1 w - -,b4b5,yes,STS(v1.0) Undermine.079,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,458,
79,r2q1r2/pp1b2kp/2n1p1p1/3p4/3P1P1P/2PB1N2/6P1/R3QRK1 w - -,h4h5,yes,STS(v1.0) Undermine.080,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,1367,
80,r2q1rk1/pp2b1pp/1np1b3/4pp2/1P6/P1NP1BP1/2Q1PP1P/1RB2RK1 w - -,b4b5,,STS(v1.0) Undermine.081,,sts_old,45,ferdy,done,2022-11-25,yes,,,,ok,,ferdy,no,,,
81,r2q4/6k1/r1p3p1/np1p1p2/3P4/4P1P1/R2QBPK1/7R w - -,e3e4,yes,STS(v1.0) Undermine.082,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,288,
82,r2qr1k1/pp3pbp/5np1/2p2b2/8/2PP1Q2/PPB3PP/RNB2RK1 b - -,c5c4,yes,STS(v1.0) Undermine.083,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,714,
83,r3k2r/1bq1bpp1/p4n2/2p1pP2/2NpP2p/3B4/PPP3PP/R1B1QR1K b k -,h4h3,,STS(v1.0) Undermine.084,,sts_old,40,ferdy,done,2022-11-01,yes,,,,ok,There is new bm.,ferdy,yes,,,
84,r3k2r/2q2p2/p2bpPpp/1b1p4/1p1B1PPP/8/PPPQ4/1K1R1B1R w kq -,f4f5,yes,STS(v1.0) Undermine.085,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,701,
85,r3k2r/ppq2p1p/2n1p1p1/3pP3/5PP1/2P1Q3/PP2N2P/3R1RK1 b k -,h7h5,,STS(v1.0) Undermine.086,,sts_old,41,ferdy,done,2022-11-24,yes,,,,ok,There is new bm.,ferdy,yes,,,
86,r3r1k1/1pp1np1p/1b1p1p2/pP2p3/2PP2b1/P3PN2/1B3PPP/R3KB1R w KQ -,c4c5,yes,STS(v1.0) Undermine.087,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,413,
87,r3r1k1/1pq2pbp/p1ppbnp1/4n3/2P1PB2/1NN2P2/PP1Q2PP/R3RBK1 w - -,c4c5,yes,STS(v1.0) Undermine.088,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,485,
88,r3r1k1/bpp1np1p/3p1p2/pPP1p3/3P2b1/P3PN2/1B3PPP/R3KB1R w KQ -,b5b6,,STS(v1.0) Undermine.089,,sts_old,40,ferdy,done,2022-11-01,yes,,,,ok,,ferdy,no,,,
89,r3r1k1/pp2q3/2b1pp2/6pN/Pn1P4/6R1/1P3PP1/3QRBK1 w - -,f2f4,yes,STS(v1.0) Undermine.090,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,4510,
90,r4r2/1p2pbk1/1np1qppp/p7/3PP2P/P1Q2NP1/1P3PB1/2R1R1K1 w - -,h4h5,yes,STS(v1.0) Undermine.091,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,884,
91,r4r2/2p2kb1/1p1p2p1/qPnPp2n/2B1PP2/pP6/P1Q1N2R/1KB4R w - -,f4f5,yes,STS(v1.0) Undermine.092,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,3004,
92,r4rk1/2p5/p2p1n2/1p1P3p/2P1p1pP/1P4B1/1P3PP1/3RR1K1 w - -,c4c5,yes,STS(v1.0) Undermine.093,,sts_old,40,unix,done,2022-10-28,yes,ferdy,2022-11-28,49,ok,"The top 2 to 10 moves have zero eval. If replacement is available, this can be replaced.",ferdy,no,,95,1800
93,r4rk1/2qnb1pp/4p3/ppPb1p2/3Pp3/1PB3P1/R1QNPPBP/R5K1 b - -,a5a4,,STS(v1.0) Undermine.094,,sts_old,40,ferdy,done,2022-11-01,yes,,,,ok,,ferdy,no,,,
94,r4rk1/p5pp/1p2b3/2Pn1p2/P2Pp2P/4P1Pq/2Q1BP2/R1BR2K1 w - -,a4a5,,STS(v1.0) Undermine.095,,sts_old,40,ferdy,done,2022-11-01,yes,,,,ok,,ferdy,no,,,
95,r4rk1/pbq2p2/2p2np1/1p2b2p/4P3/2N1BPP1/PPQ1B2P/R2R2K1 b - -,h5h4,yes,STS(v1.0) Undermine.096,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,363,
96,r4rk1/pp1b2b1/n2p1nq1/2pP1p1p/2P1pP2/PP4PP/1BQ1N1B1/R3RNK1 b - -,h5h4,yes,STS(v1.0) Undermine.097,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,643,
97,rn3rk1/p1p1qp2/1pbppn1p/6p1/P1PP4/2PBP1B1/3N1P1P/R2QK1R1 w Q -,h2h4,yes,STS(v1.0) Undermine.098,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,478,
98,rnbq1rk1/2p1p1bp/p3pnp1/1p6/3P4/1QN1BN2/PP3PPP/R3KB1R w KQ -,a2a4,yes,STS(v1.0) Undermine.099,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,There is new bm.,ferdy,yes,,284,
99,rr3n1k/q3bpn1/2p1p1p1/2PpP2p/pP1P1N1P/2BB1NP1/P2Q1P2/6RK w - -,g3g4,yes,STS(v1.0) Undermine.100,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,There is new bm.,ferdy,yes,,1086,
100,1b1r4/3rkp2/p3p2p/4q3/P5P1/2RBP3/P1Q4P/1R3K2 b - -,b8a7,,STS(v2.2) Open Files and Diagonals.001,,sts_old,40,ferdy,done,2022-11-01,yes,,,,,,ferdy,no,,,
101,1bq3rk/R6p/5n1P/1N1p4/1PnP2p1/6P1/5B2/2Q2BK1 w - -,a7e7,yes,STS(v2.2) Open Files and Diagonals.002,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,358,
102,1k1r3r/1p1b1Q1p/p7/q3p3/4p3/2P1N3/P4PPP/R4RK1 w - -,a1d1,yes,STS(v2.2) Open Files and Diagonals.003,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,352,
103,1Q6/1b4pk/2q2b1p/1p1ppP2/1Pp5/2P2P1P/2BB2P1/6K1 b - -,c6a6,yes,STS(v2.2) Open Files and Diagonals.004,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,There is new bm.,ferdy,yes,,247,
104,1qrr3k/1p2bp1p/1n2p1pP/p2pP3/P4B2/1PPB2P1/2R1QP2/3R2K1 w - -,d3b5,yes,STS(v2.2) Open Files and Diagonals.005,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,450,
105,1r1n1rk1/3qp2p/P2p2p1/1p6/5pP1/1p3P1P/5PB1/R1QR2K1 w - -,g2f1,,STS(v2.2) Open Files and Diagonals.006,,sts_old,36,ferdy,done,2022-11-01,yes,,,,,,ferdy,no,,,
106,1r1n2k1/5r1p/P2qp1p1/3p4/1p3pP1/1Q3P1P/R4P2/2R2BK1 w - -,a2c2,yes,STS(v2.2) Open Files and Diagonals.007,,sts_old,40,unix,done,2022-10-28,yes,,,,ok,,ferdy,no,,1411,
107,1r1q1nk1/p3bpp1/b1p1p2p/4P3/1P2NB2/P4N2/5PPP/2Q1R1K1 w - -,f4e3,,STS(v2.2) Open Files and Diagonals.008,,sts_old,43,ferdy,done,2022-11-15,yes,,,,ok,There is new bm. Replace this epd on this theme. But this epd can be moved to theme sts 3.0 or knight outpost. This is now in index 1500.,ferdy,yes,2,,
108,1r1q4/5p2/2p4k/1n2p1pP/4P3/P4BR1/3Q1PKP/8 w - -,d2c1,yes,STS(v2.2) Open Files and Diagonals.009,,sts_old,40,unix,done,2022-10-29,yes,,,,ok,,ferdy,no,,179,
